"","mean.research","sd.research","mean.applicant","sd.applicant","cohensd","stars"
"honestyhumility",3.66,0.44,4.01,0.37,0.86,"***"
"emotionality",3.02,0.43,2.97,0.35,-0.14,"***"
"extraversion",3.75,0.48,4.05,0.35,0.73,"***"
"agreeableness",3.17,0.45,3.6,0.36,1.06,"***"
"conscientiousness",3.69,0.43,3.99,0.35,0.77,"***"
"openness",3.54,0.48,3.58,0.41,0.09,"**"
"sincerity",3.61,0.55,3.87,0.46,0.5,"***"
"fairness",4.1,0.62,4.55,0.39,0.86,"***"
"greedavoidance",3.33,0.65,3.68,0.59,0.55,"***"
"modesty",3.61,0.56,3.96,0.48,0.67,"***"
"fearfulness",2.66,0.63,2.59,0.55,-0.11,"**"
"anxiety",3.05,0.67,2.73,0.55,-0.51,"***"
"dependence",2.88,0.6,2.93,0.5,0.09,"*"
"sentimentality",3.5,0.56,3.62,0.46,0.24,"***"
"socialselfesteem",4.13,0.52,4.45,0.38,0.7,"***"
"socialboldness",3.59,0.65,3.85,0.49,0.44,"***"
"sociability",3.43,0.65,3.77,0.49,0.59,"***"
"liveliness",3.83,0.59,4.14,0.42,0.6,"***"
"forgiveness",2.98,0.66,3.51,0.51,0.89,"***"
"gentleness",3.1,0.55,3.46,0.47,0.7,"***"
"flexibility",3.18,0.52,3.59,0.44,0.85,"***"
"patience",3.4,0.61,3.84,0.48,0.79,"***"
"organization",3.72,0.71,4.05,0.55,0.53,"***"
"diligence",3.86,0.55,4.12,0.39,0.55,"***"
"perfectionism",3.55,0.55,3.76,0.49,0.39,"***"
"prudence",3.64,0.55,4.04,0.41,0.83,"***"
"aestheticappreciation",3.53,0.69,3.6,0.6,0.12,"***"
"inquisitiveness",3.7,0.65,3.84,0.58,0.21,"***"
"creativity",3.49,0.6,3.55,0.52,0.11,"**"
"unconventionality",3.42,0.54,3.32,0.42,-0.22,"***"
"altruism",4.02,0.5,4.21,0.39,0.44,"***"
