"","research.Factor4","research.Factor5","research.Factor1","research.Factor2","research.Factor6","research.Factor3","applicant.Factor2","applicant.Factor6","applicant.Factor1","applicant.Factor4","applicant.Factor5","applicant.Factor3"
"sincerity",0.56,-0.05,-0.02,0.01,0.12,0.02,0.66,-0.04,-0.05,-0.09,0.12,0.03
"fairness",0.46,0.06,0.13,-0.02,0.34,-0.02,0.48,0.05,0.21,-0.09,0.25,-0.01
"greedavoidance",0.8,-0.06,-0.1,-0.14,-0.13,0.1,0.85,0.01,-0.13,-0.02,-0.24,0
"modesty",0.74,0.14,0,-0.02,-0.11,-0.09,0.77,0.14,-0.05,0.03,-0.11,-0.04
"fearfulness",0.07,0.38,-0.21,0.03,0,-0.24,0,0.33,-0.31,0.06,0.18,-0.16
"anxiety",-0.11,0.47,-0.37,-0.22,0.12,0.02,-0.1,0.46,-0.33,-0.2,0.16,0.05
"dependence",-0.06,0.55,0.1,-0.06,-0.17,-0.03,0.03,0.6,0.09,-0.07,-0.18,-0.03
"sentimentality",0.05,0.75,0.11,0.05,0.04,0.16,0.11,0.72,0.14,0.04,0.05,0.11
"socialselfesteem",0.07,0.04,0.69,0.01,0.15,-0.1,0.07,0.05,0.77,-0.06,0.1,-0.13
"socialboldness",-0.06,-0.08,0.76,-0.15,0.03,0.13,-0.02,-0.08,0.82,-0.16,-0.09,0.05
"sociability",-0.18,0.38,0.76,0.02,-0.11,-0.07,-0.21,0.38,0.74,0.12,-0.11,-0.08
"liveliness",0.04,0.04,0.8,-0.03,0.09,-0.02,-0.08,0.05,0.78,0.04,0.07,-0.01
"forgiveness",0,-0.04,0.18,0.51,-0.12,0.06,0.04,-0.09,0.12,0.51,-0.13,0.09
"gentleness",-0.1,0.18,-0.2,0.87,0.01,0.03,-0.09,0.11,-0.19,0.86,0.08,-0.02
"flexibility",0.08,0.02,0.01,0.58,-0.03,-0.03,0.11,0.01,-0.03,0.59,0.02,-0.01
"patience",-0.07,-0.11,0,0.79,0.04,-0.01,-0.01,-0.21,0.08,0.64,0.08,0.02
"organization",-0.06,0.07,0.06,-0.04,0.64,-0.15,-0.13,0.05,0.07,0.07,0.7,-0.03
"diligence",-0.02,-0.07,0.31,-0.13,0.58,0.08,-0.05,-0.09,0.47,-0.13,0.4,0.07
"perfectionism",-0.13,0.15,-0.12,-0.08,0.65,0.07,-0.18,0.08,-0.12,0.03,0.77,0.1
"prudence",0,-0.14,-0.03,0.31,0.59,-0.1,0.13,-0.18,0.08,0.11,0.55,-0.05
"aestheticappreciation",0.08,0.21,-0.11,0.03,0.05,0.74,0.04,0.16,-0.17,0.04,0.11,0.79
"inquisitiveness",-0.1,-0.06,-0.06,0.11,0.14,0.6,0.01,-0.04,-0.03,0.01,0.07,0.68
"creativity",-0.08,0.05,0.13,0.04,0,0.66,-0.07,0.01,0.16,-0.01,0,0.6
"unconventionality",0.07,0.05,0,-0.09,-0.2,0.76,-0.04,0.03,0,-0.05,-0.17,0.63
"altruism",0.28,0.55,0.11,0.19,0.09,0.13,0.33,0.45,0.18,0.17,0.08,0.11
